,username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
668,tweetsbysugu,news7tamil,"1. Mandatory mask and gloves for anyone who goes out. 2. Social distancing to be followed everywhere. 3. Staffs with COVID19 symptoms must NOT be Allowed to work in any company/shop. FINE FOR ANYONE WHO DOESN'T FOLLOW THESE RULES This might be better than Lockdown, if followed",0,0,0,1277677061948051456,https://twitter.com/tweetsbysugu/status/1277677061948051456,3036617472,2020-06-29 18:55:24+00:00,Mon Jun 29 18:55:24 +0000 2020,,,,
669,TeamRFIndia,,Meeting our students after 3 months of lockdown to ensure they are learning and getting along with the digital schooling. #TeamRFIndia,2,5,0,1277677053299642370,https://twitter.com/TeamRFIndia/status/1277677053299642370,1187686224695300097,2020-06-29 18:55:22+00:00,Mon Jun 29 18:55:22 +0000 2020,#TeamRFIndia,,,
670,DrLeoRebello,,LEGAL NOTICE TO @PMOIndia Social Distancing is a rotten Brahminical Concept. Divide &amp; Rule Concept is NOT ACCEPTABLE. Withdraw LOCKDOWN fully in one go. Back to normal as before 24 March. Repeat: Under Article 13 #LockDown is ab initio Null &amp; Void for violating Fundamenal Rights.,0,1,1,1277676978078806016,https://twitter.com/DrLeoRebello/status/1277676978078806016,121317024,2020-06-29 18:55:04+00:00,Mon Jun 29 18:55:04 +0000 2020,#LockDown,@PMOIndia,,
671,masroofnadwi,,“Triple Lockdown” In Parts Of Kerala District Reporting 47 Cases In A Day ,0,0,0,1277676955966615557,https://twitter.com/masroofnadwi/status/1277676955966615557,826890232129781760,2020-06-29 18:54:59+00:00,Mon Jun 29 18:54:59 +0000 2020,,,,https://masroofnadwi.com/triple-lockdown-in-parts-of-kerala-district-reporting-47-cases-in-a-day/
672,_Iam_RKG_,matteobuschitta,We are only underestimating our own abilities.. & Pioli too we gotta give him more credit Zlatan will be available for those matches too hopefully we can win if we play freely like we did after the lockdown even against Juve that Red Card to Rebic cost the tie.,0,0,1,1277676909761925120,https://twitter.com/_Iam_RKG_/status/1277676909761925120,947867033823166464,2020-06-29 18:54:48+00:00,Mon Jun 29 18:54:48 +0000 2020,,,,
673,SriAlexander007,,"@trsharish Sir, if you are bringing in lockdown please give a thought on giving numbers to all house hold by Monday, Tuesday..Sunday.. day wise and allow them only on that day for any purchases. This will reduce crowd 1/7th. Pls give a thought.",0,0,0,1277676776139788288,https://twitter.com/SriAlexander007/status/1277676776139788288,2905395788,2020-06-29 18:54:16+00:00,Mon Jun 29 18:54:16 +0000 2020,,@trsharish,,
674,MMSBist,AmeyGhole,"Sorry no offence, but i guess one can survive wdout these. And during this semi lockdown &amp; 2 km rule distributing will defeat the module, rush to get it free &amp; also encourages no business loitering ",0,2,1,1277676732015759360,https://twitter.com/MMSBist/status/1277676732015759360,1253407024328687616,2020-06-29 18:54:05+00:00,Mon Jun 29 18:54:05 +0000 2020,,,,
675,Kishoreciyer1,shivRnair_91,Let lockdown get over!,0,1,1,1277676710788427776,https://twitter.com/Kishoreciyer1/status/1277676710788427776,994050533483786240,2020-06-29 18:54:00+00:00,Mon Jun 29 18:54:00 +0000 2020,,,,
676,monikaptel,,"Gujarat Govt announces ‘Atmanirbhar Gujarat Sahay Yojana-2’, a Rs.5000-crore relief package that offers guarantee-free loan of upto Rs.2.5 lakh @4% interest rate to small businessmen and other middle-income group of the state whose livelihood has been impacted by Corona lockdown ",2,2,0,1277676608556371968,https://twitter.com/monikaptel/status/1277676608556371968,2962204649,2020-06-29 18:53:36+00:00,Mon Jun 29 18:53:36 +0000 2020,,,,
677,myself__AA,myself__AA,Atleast prepaid taxis? Or the domestic travel is restricted during lockdown?,0,0,0,1277676533805547521,https://twitter.com/myself__AA/status/1277676533805547521,988397812319637505,2020-06-29 18:53:18+00:00,Mon Jun 29 18:53:18 +0000 2020,,,,
678,MahendherManne,TOIHyderabad,"Lockdown may not be effective option at this point of time..., you can check Chennai story., after #lockdown Chennai and its adjoining districts...., daily covid count is almost 4k. Virus is going to go it's way...., we need to test, isolate and treat",0,1,0,1277676490063179776,https://twitter.com/MahendherManne/status/1277676490063179776,1050647293727129600,2020-06-29 18:53:07+00:00,Mon Jun 29 18:53:07 +0000 2020,#lockdown,,,
679,crk1234,Chhokkwangun,Well in my case having quit drinking helped me. Consider your self a Teetotaller atleast during Lockdown ,0,0,1,1277676421473660928,https://twitter.com/crk1234/status/1277676421473660928,30942411,2020-06-29 18:52:51+00:00,Mon Jun 29 18:52:51 +0000 2020,,,,
680,Saif__Aadeez,,Happy Birthday @Real_Vanshi30 @aadeez_vanshika May all your birthday wishes and dreams come true ! Lockdown me maze hai ,2,6,0,1277676420282507264,https://twitter.com/Saif__Aadeez/status/1277676420282507264,1090296364406173696,2020-06-29 18:52:51+00:00,Mon Jun 29 18:52:51 +0000 2020,,@Real_Vanshi30 @aadeez_vanshika,,
681,myself__AA,myself__AA,Got ticket and epass for my journey from RAJAHMUNDRY TO CHENNAI. During lockdown do we have cabs like @ola_supports @Olacabs @UberINSupport facility from chennai airport to Singaperumal koil on 1st July?please confirm. @aaichnairport @HardeepSPuri is domestic travel restricted?,0,0,2,1277676389492158469,https://twitter.com/myself__AA/status/1277676389492158469,988397812319637505,2020-06-29 18:52:43+00:00,Mon Jun 29 18:52:43 +0000 2020,,@ola_supports @Olacabs @UberINSupport @aaichnairport @HardeepSPuri,,
682,SUNDARmyth,,"#Secular India*#Brand West Bengal* Both Modi &amp; Mamata Banerjee Govt didn't care about Bengali #MigrantWorkers when #LockDown started. 17 #MigrantWorkers from Malda died. To demand compensation,their Family Members held sit-in Demo before Malda DM Office.CPIM-LF extended support.",3,19,0,1277676383389364224,https://twitter.com/SUNDARmyth/status/1277676383389364224,344092409,2020-06-29 18:52:42+00:00,Mon Jun 29 18:52:42 +0000 2020,#Secular #Brand #MigrantWorkers #LockDown #MigrantWorkers,,,
683,Humayra_Emma,mirha_noor13,Mere toh sare classes khatam ho chuke the 4th year k lockdown se phle toh no online class also! Professional exam kabh ho aab kya pata I need to love spending time in making vms mirha nhi toh mujhse nhi hota aur aaj kal wo kar k bhi utna accha nhi lagta ,0,1,0,1277676247045242880,https://twitter.com/Humayra_Emma/status/1277676247045242880,944556943724634113,2020-06-29 18:52:10+00:00,Mon Jun 29 18:52:10 +0000 2020,,,,
684,Bhakthash,DuskyChhori,"It's not lockdown, It's Corona has made People Insane... Kisi ka without Caption Wala pic daalo, Toh RIP ya Om Shanti Wala message aayega..",0,3,0,1277676126551158784,https://twitter.com/Bhakthash/status/1277676126551158784,1298044028,2020-06-29 18:51:41+00:00,Mon Jun 29 18:51:41 +0000 2020,,,,
